MEDPRICE,M1 Money Supply,OBV,Unemployment Rate,Federal Funds Rate,Open,USD/INR Exchange Rate,M2 Money Supply,USD/NOK Exchange Rate,ATR_10,Close
4.949977942578252,7.02384799796908,19.257333728145618,1.6094379124541005,1.8885836538787235,4.961751025499841,3.7984062786434194,8.448614519850961,2.2134806179221567,1.3265596776997317,140.25
4.933011353291405,7.02384799796908,19.204337974833773,1.6094379124541005,1.8840347453524235,4.94476254994626,3.798854307324748,8.448614519850961,2.2267833795885514,1.3770346108869704,135.875
4.933011353291405,7.02384799796908,19.257333728145618,1.6094379124541005,1.8840347453524235,4.94476254994626,3.798854307324748,8.448614519850961,2.2267833795885514,1.4158407266945336,135.875
4.933011353291405,7.02384799796908,19.30766171881064,1.6094379124541005,1.8840347453524235,4.94476254994626,3.798854307324748,8.448614519850961,2.2267833795885514,1.449523561049149,135.875
4.929684785608052,7.02384799796908,19.351062142459927,1.6094379124541005,1.927164106248814,4.918611375283812,3.798854307324748,8.448614519850961,2.2301219212710817,1.4820943065676897,139.5625
4.949535121724286,7.011754869000712,19.38373101586406,1.629240539749888,1.915450941585332,4.94698526702051,3.7981821890066274,8.451459289428934,2.227538218681914,1.476493763800426,140.9375
4.958025343824661,7.011754869000712,19.40714435163445,1.629240539749888,1.8931119635034024,4.957805381119048,3.798854307324748,8.451459289428934,2.221917189937431,1.4415665553454249,141.0625
4.96021880818294,7.011754869000712,19.43653044219485,1.629240539749888,1.9035989509984936,4.954946388236372,3.798854307324748,8.451459289428934,2.214627814245823,1.4421030891300122,143.1875
4.970247233191662,7.011754869000712,19.41853488019297,1.629240539749888,1.9021075264118457,4.971114535934666,3.798854307324748,8.451459289428934,2.2267833795885514,1.4095526507741198,142.5937
4.970247233191662,7.011754869000712,19.43653044219485,1.629240539749888,1.9021075264118457,4.971114535934666,3.798854307324748,8.451459289428934,2.2267833795885514,1.3793229024356048,142.5937
4.970247233191662,7.011754869000712,19.454207880329538,1.629240539749888,1.9021075264118457,4.971114535934666,3.798854307324748,8.451459289428934,2.2267833795885514,1.3513120604814035,142.5937
4.963609023352439,7.011754869000712,19.433192157361947,1.629240539749888,1.9110228900696653,4.9667704804500135,3.798630318075296,8.451459289428934,2.2255960514767104,1.3111965598883255,142.375
4.977380085220885,7.011754869000712,19.45096744559258,1.629240539749888,1.897619859942525,4.976517857050729,3.7984062786434194,8.451459289428934,2.217408395597342,1.2969985375112183,144.3125
4.9688903043031365,7.011754869000712,19.420118536621302,1.629240539749888,1.9110228900696653,4.979960943195636,3.798854307324748,8.451459289428934,2.213207281853764,1.311780903431103,141.2812
4.960875910385973,7.011754869000712,19.444447359714506,1.629240539749888,1.915450941585332,4.96021880818294,3.797285327959966,8.451459289428934,2.216482393951533,1.2837775586704965,141.5625
4.948648891310907,7.011754869000712,19.408421812736968,1.629240539749888,1.9035989509984936,4.961751025499841,3.798854307324748,8.451459289428934,2.220506981969294,1.319047306867679,138.6875
4.948648891310907,7.011754869000712,19.444447359714506,1.629240539749888,1.9035989509984936,4.961751025499841,3.798854307324748,8.451459289428934,2.220506981969294,1.349760313672972,138.6875
4.948648891310907,7.011754869000712,19.47922007000577,1.629240539749888,1.9035989509984936,4.961751025499841,3.798854307324748,8.451459289428934,2.220506981969294,1.3766179357599864,138.6875
4.941977009486729,7.011754869000712,19.508382400892646,1.629240539749888,1.915450941585332,4.947206912082427,3.798854307324748,8.451459289428934,2.2244073119408347,1.338207202156626,139.5
4.945262647395596,7.011754869000712,19.545035182059195,1.629240539749888,1.9242486522887323,4.943426544403518,3.798630318075296,8.451459289428934,2.224785700550443,1.3540739592021351,141.0781
4.947817247649229,7.011754869000712,19.51587888437682,1.629240539749888,1.897619859942525,4.951415934436992,3.8010914447230992,8.451459289428934,2.223433654699432,1.3386746586193754,139.0
4.943983252158094,7.011754869000712,19.490184465874385,1.629240539749888,1.8961194845673128,4.951857923394464,3.799525974203238,8.451459289428934,2.228400194815439,1.322946274992592,138.2812
4.92544044803375,7.011754869000712,19.457361251426683,1.629240539749888,1.9021075264118457,4.940749166632804,3.799525974203238,8.451459289428934,2.2253800220958766,1.3620068198016857,135.3125
4.92544044803375,7.011754869000712,19.490184465874385,1.629240539749888,1.9021075264118457,4.940749166632804,3.799525974203238,8.451459289428934,2.2253800220958766,1.3959025788777513,135.3125
4.92544044803375,7.011754869000712,19.521964467824517,1.629240539749888,1.9021075264118457,4.940749166632804,3.799525974203238,8.451459289428934,2.2253800220958766,1.425456488314839,135.3125
4.92544044803375,7.011754869000712,19.55276553204418,1.629240539749888,1.9021075264118457,4.940749166632804,3.799525974203238,8.451459289428934,2.2253800220958766,1.451328226883858,135.3125
4.91219485346758,7.011754869000712,19.4983972348311,1.629240539749888,1.9183921201761047,4.914032612705573,3.798854307324748,8.451459289428934,2.213207281853764,1.440581909458693,134.9687
4.919866685727061,7.011754869000712,19.538818830753325,1.629240539749888,1.9125010869389547,4.917239946497435,3.799525974203238,8.451459289428934,2.2167548363997485,1.4345385036539728,136.5625
4.9131139715172525,7.011754869000712,19.48034532913,1.629240539749888,1.9110228900696653,4.924986624563288,3.798854307324748,8.451459289428934,2.219801131525988,1.452008737920428,133.8125
4.9120800882194,7.011754869000712,19.443061172767045,1.629240539749888,1.9065751436714955,4.914032612705573,3.798854307324748,8.451459289428934,2.2313038909998206,1.4595187866141202,133.3281
4.9120800882194,7.011754869000712,19.48034532913,1.629240539749888,1.9065751436714955,4.914032612705573,3.798854307324748,8.451459289428934,2.2313038909998206,1.4662299432071204,133.3281
