Date,Close,Rolling_Median_10,WMA_30,SMA_5,TYPPRICE,Open,BB_MIDDLE,SMA_30,EMA_30,DEMA_30,AVGPRICE
2000-01-27,140.25,4.979746441063198,4.977349902574142,4.9597365885156695,4.950162452428007,4.961751025499841,4.9597365885156695,4.980215398554287,4.976032759886998,4.97547452236826,4.953072210153817
2000-01-28,135.875,4.971114535934666,4.973504742445598,4.947651048890964,4.928385170390876,4.94476254994626,4.947651048890964,4.977706625339007,4.972453941132228,4.968568529273972,4.932504729334624
2000-01-29,135.875,4.958464421768048,4.969808097950264,4.941285215962177,4.928385170390876,4.94476254994626,4.941285215962177,4.975231119796258,4.969094378929886,4.962283238301798,4.932504729334624
2000-01-30,135.875,4.952851508282128,4.966259099605938,4.932583658478818,4.928385170390876,4.94476254994626,4.932583658478818,4.9726953692729,4.965941311820113,4.956573152960676,4.932504729334624
2000-01-31,139.5625,4.950862996449066,4.964525143866922,4.930780068847513,4.935035645844879,4.918611375283812,4.930780068847513,4.971006106418196,4.964644688106717,4.954646962872449,4.9309547985944695
2000-02-01,140.9375,4.950862996449066,4.963518269019249,4.931772445671252,4.951489494949742,4.94698526702051,4.931772445671252,4.969632380434036,4.964049985750302,4.954132823714165,4.95036533854568
2000-02-02,141.0625,4.950862996449066,4.96265610508428,4.939228797874172,4.957439606511092,4.957805381119048,4.939228797874172,4.968618952368674,4.963549687982633,4.953798043277771,4.957531062706758
2000-02-03,143.1875,4.9525205407571935,4.962818262516936,4.949646022470534,4.963863924123884,4.954946388236372,4.949646022470534,4.969415303720184,4.964039473418364,4.955386492734628,4.961641984294847
2000-02-04,142.5937,4.9525205407571935,4.962660790519294,4.959122607223582,4.969161930074227,4.971114535934666,4.959122607223582,4.970015755932876,4.964229949528851,4.9563186399799966,4.969650439093424
2000-02-05,142.5937,4.952962041868118,4.962464273702324,4.96336882850903,4.969161930074227,4.971114535934666,4.96336882850903,4.971136127957011,4.964408104018426,4.957178286635287,4.969650439093424
2000-02-06,142.5937,4.955827057601965,4.962194830495582,4.965681302399879,4.969161930074227,4.971114535934666,4.965681302399879,4.97040620247873,4.964574735941303,4.95797098303624,4.969650439093424
2000-02-07,142.375,4.960875910385973,4.961874063917533,4.967510093677586,4.964227589615245,4.9667704804500135,4.967510093677586,4.96962511057396,4.96463210427273,4.958510070502126,4.964863918795863
2000-02-08,144.3125,4.966225970019533,4.962478842637589,4.969074971524051,4.977882507625137,4.976517857050729,4.969074971524051,4.969292237921721,4.96555790598788,4.960707548340736,4.977541519529747
2000-02-09,141.2812,4.966225970019533,4.961736682326865,4.967249042455558,4.965208965882164,4.979960943195636,4.967249042455558,4.968140790601871,4.965059552697975,4.960052016875847,4.968917412278374
2000-02-10,141.5625,4.966225970019533,4.96119596012261,4.965812111042919,4.960510906914388,4.96021880818294,4.965812111042919,4.967459443466806,4.964719808350001,4.959715078665029,4.960437890230043
2000-02-11,138.6875,4.966225970019533,4.959398496132695,4.96035019306603,4.945578001383651,4.961751025499841,4.96035019306603,4.966443809772009,4.963105967444384,4.956898106771495,4.949645845322601
2000-02-12,138.6875,4.966225970019533,4.957663933800393,4.955166557829867,4.945578001383651,4.961751025499841,4.955166557829867,4.964976575164411,4.961593883803112,4.954354013453372,4.949645845322601
2000-02-13,138.6875,4.962626074910594,4.95602194395644,4.947207196211234,4.945578001383651,4.961751025499841,4.947207196211234,4.963048478945921,4.960177281054142,4.952060389487106,4.949645845322601
