Date,Open,High,Low,Close,Volume,CPI
2023-09-01,453.17,453.67,449.68,451.19,58944098.0,307.288
2023-08-01,456.27,457.25,455.49,456.48,55502199.0,306.187
2023-06-01,418.09,422.92,416.79,421.82,88865018.0,304.003
2023-05-01,415.47,417.62,415.265,415.51,62122254.0,303.365
2023-03-01,395.41,396.69,393.38,394.74,99706823.0,301.744
2023-02-01,405.211,413.67,402.35,410.8,101459155.0,301.509
2022-12-01,408.77,410.0,404.75,407.38,76398170.0,298.812
2022-11-01,390.14,390.39,383.29,384.52,85407598.0,298.648
2022-09-01,392.89,396.78,390.04,396.42,78740084.0,296.341
2022-08-01,409.15,413.41,408.4,410.77,69997471.0,295.209
2022-07-01,376.56,381.7,373.8,381.24,74839729.0,294.977
2022-06-01,415.17,416.24,406.93,409.59,86585813.0,294.996
2022-04-01,453.31,453.46,449.14,452.92,89048773.0,288.764
2022-03-01,435.04,437.17,427.11,429.98,137785908.0,287.553
2022-02-01,450.68,453.63,446.9384,452.95,123155382.0,284.535
2021-12-01,461.64,464.67,450.29,450.5,132485835.0,280.808
2021-11-01,460.3,460.7021,458.2,460.04,47474495.0,278.799
2021-10-01,430.98,436.0329,427.23,434.24,129240106.0,276.434
2021-09-01,452.56,453.11,451.545,451.8,48721378.0,273.887
2021-07-01,428.87,430.6,428.8,430.43,53441027.0,271.994
2021-06-01,422.57,422.72,419.2,419.67,54216625.0,270.664
2021-04-01,398.4,400.67,398.18,400.61,99682876.0,266.752
2021-03-01,385.59,390.92,380.572,389.58,105348798.0,264.91
2021-02-01,373.72,377.34,370.376,376.23,75817597.0,263.583
2020-12-01,365.57,367.68,364.93,366.02,72509670.0,262.005
2020-10-01,337.69,338.74,335.01,337.04,88698745.0,260.249
2020-09-01,350.21,352.71,349.24,352.6,54999325.0,259.951
2020-07-01,309.57,311.89,309.07,310.52,71910372.0,258.408
2020-06-01,303.62,306.21,303.06,305.55,55696013.0,257.004
2020-05-01,285.31,290.66,281.52,282.79,125045778.0,255.848
2020-04-01,247.98,257.66,243.9,246.15,188373330.0,256.126
2019-11-01,304.92,306.19,304.74,306.14,71071915.0,257.879
2019-10-01,297.74,298.46,293.0,293.24,89425082.0,257.155
2019-08-01,297.6,300.87,293.96,294.84,142646576.0,256.036
2019-07-01,296.68,296.92,294.33,295.66,79107474.0,255.802
2019-05-01,294.72,294.95,291.8,291.81,71671870.0,255.296
2019-04-01,284.7,286.16,284.4,285.83,77617945.0,255.233
2019-03-01,280.44,280.88,278.82,280.42,78880548.0,254.277
2019-02-01,270.15,271.2,269.18,270.06,85782524.0,253.319
2018-11-01,271.6,273.73,270.38,273.51,99495037.0,252.594
2018-10-01,292.11,292.93,290.98,291.73,62078937.0,252.772
2018-08-01,281.56,282.13,280.13,280.86,53853326.0,251.663
2018-06-01,272.41,273.94,272.33,273.6,71258411.0,251.018
2018-05-01,263.87,265.1,262.11,264.98,74203365.0,250.792
2018-03-01,271.41,273.17,266.0,267.7,176855077.0,249.577
2018-02-01,281.07,283.06,280.68,281.58,90102470.0,249.529
2017-12-01,264.76,265.31,260.76,264.46,164390902.0,247.805
2017-11-01,258.04,258.43,257.07,257.49,54202736.0,247.284
2017-09-01,247.92,248.33,247.67,247.84,62006989.0,246.435
2017-08-01,247.46,247.5,246.716,247.32,55050401.0,245.183
2017-06-01,241.97,243.38,241.64,243.36,68962000.0,244.163
2017-05-01,238.68,239.17,238.2,238.68,66882500.0,244.004
2017-03-01,238.39,240.32,238.37,239.78,149158200.0,243.892
2017-02-01,227.53,228.59,226.94,227.62,79117700.0,244.006
2016-12-01,220.73,220.73,219.15,219.57,79040500.0,242.637
2016-11-01,212.93,212.99,209.6,211.01,122781800.0,242.026
2016-09-01,217.37,217.73,216.03,217.39,97844200.0,241.176
2016-08-01,217.19,217.65,216.41,216.94,73311400.0,240.545
2016-07-01,209.48,210.49,209.29,209.92,106055300.0,240.101
2016-06-01,209.12,210.48,208.89,210.27,69936200.0,240.222
2016-04-01,204.35,207.14,203.98,206.92,114423500.0,238.992
2016-03-01,195.01,198.21,194.45,198.11,141799700.0,238.08
2016-02-01,192.53,194.58,191.84,193.65,136061600.0,237.336
2015-12-01,209.44,210.82,209.11,210.68,97858418.0,237.761
2015-10-01,192.08,192.49,189.82,192.13,131078964.0,237.733
2015-09-01,193.12,194.77,190.73,191.77,256000392.0,237.498
2015-07-01,207.73,208.03,206.56,207.57,135979873.0,238.034
2015-06-01,211.94,212.34,210.62,211.57,93338750.0,237.657
2015-05-01,209.4,210.77,209.28,210.72,103399711.0,237.001
2015-04-01,206.43,206.43,204.51,205.7,137303584.0,236.222
2014-12-01,206.4,206.54,205.38,205.76,103968354.0,236.252
2014-10-01,196.7,196.77,193.91,194.35,177797862.0,237.43
2014-08-01,192.56,193.76,191.57,192.5,189260864.0,237.46
2014-07-01,196.2,197.63,196.13,197.03,90470121.0,237.498
2014-05-01,188.22,188.84,187.73,188.33,93019095.0,236.918
2014-04-01,187.62,188.36,187.0,188.25,89193125.0,236.468
2013-11-01,176.02,176.61,175.22,176.21,142775416.0,234.1
2013-10-01,168.14,169.5,167.97,169.34,126997489.0,233.669
2013-08-01,169.99,170.81,169.9,170.66,110213653.0,233.456
2013-07-01,161.26,162.48,161.08,161.36,131657906.0,232.9
2013-05-01,159.33,159.41,158.1,158.28,138772621.0,231.893
2013-04-01,156.59,156.91,155.67,156.05,99146793.0,231.797
2013-03-01,151.09,152.34,150.41,152.11,170605782.0,232.282
2013-02-01,150.65,151.42,150.39,151.24,131103910.0,232.937
2012-11-01,141.65,143.01,141.52,142.83,100929973.0,231.249
2012-10-01,144.52,145.69,144.01,144.35,135858200.0,231.638
2012-08-01,138.7,138.73,137.4,137.59,138192791.0,229.918
2012-06-01,129.41,131.5,128.16,128.16,253063555.0,228.524
2012-05-01,139.79,141.66,139.63,140.74,138747253.0,228.713
2012-03-01,137.31,137.99,136.93,137.73,144742785.0,228.807
2012-02-01,132.29,133.14,132.13,132.47,165757550.0,228.329
